electrical_capacity,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology,data_source,nuts_1_region,nuts_2_region,nuts_3_region,lon,lat,municipality,postcode,address,region,country,commissioning_date,solar_mounting_type,chp,capacity_individual_turbine,number_of_turbines,site_name,uk_beis_id,operator,comment,Affected_1m,Affected_2m,Affected_3m,Priority_Score,Priority_Save
30.0,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM9,UKM95,-4.2091365075283,55.6589923194592,Strathclyde,,"Strathaven, Strathclyde, ML10 6QW",Scotland,Scotland,2014/06/30,,,2.5,12,West Browncastle,4427,Falck Renewables,,0,0,0,0.0,0
8.2,Renewable energy,Wind,,Onshore,BEIS,UKL,UKL1,UKL14,-4.99646534856776,51.7021386752389,Dyfed,,"Land at Wear Point, Waterston Industrial, Llanstadwell",Wales,Wales,2014/07/07,,,2.05,4,Wear Point,4661,John Laing Environmental Assets Group,,0,0,0,0.0,0
18.4,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM7,UKM72,-3.08132354056135,56.1736573798949,Fife,,Earlseat Farm Standing Stane Road Kirkcaldy Fife KY1 4TH,Scotland,Scotland,2014/07/30,,,2.3,8,Earlseat,4363,The Renewables Infrastructure Group (TRIG),,0,0,0,0.0,0
20.7,Renewable energy,Wind,,Onshore,BEIS,UKH,UKH3,UKH36,0.8924744446314,51.6631368463479,Essex,,"Land Between Middlewick Farm And Wraywick Farm, The Marshes, Southminster, Essex",Eastern,England,2014/07/31,,,2.3,9,Middlewick wind farm,4662,Blue Energy (formerly Ridgewind Ltd),,1,1,1,20.7,0
2.5,Renewable energy,Wind,,Onshore,BEIS,UKF,UKF1,UKF16,-1.29792733002491,52.9987733730367,Nottinghamshire,NG16 2DE,"Sewage Treatment Works, Halls Lane, Giltbrook, Nottinghamshire",East Midlands,England,2014/08/04,,,2.5,1,Newthorpe Wind Turbine,3793,Severn Trent Water,,0,0,0,0.0,0
2.3,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM5,UKM50,-2.2999494450545,57.5662649396023,Grampian,,"New Byth, Turriff. AB53 5UY",Scotland,Scotland,2014/08/18,,,2.3,1,Bogenlea Farm,4346,Eco2,,0,0,0,0.0,0
4.0,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM7,UKM77,-3.76891443709756,56.2153939435274,Tayside,,Site South Of The Upper And Lower Glendevon Resevoirs Glendevon,Scotland,Scotland,2014/09/09,,,2.0,2,Burnfoot Hill Extension,4450,Private Developer,,0,0,0,0.0,0
9.2,Renewable energy,Wind,,Onshore,BEIS,UKN,UKN1,UKN16,-7.55961090120656,54.6063946368532,Co. Tyrone,,"Thornog, Meenadoan townland, Drumquin. Co Tyrone",Northern Ireland,Northern Ireland,2014/09/22,,,2.3,4,Thornog Windfarm,4053,Energia Renewables,,0,0,0,0.0,0
10.2,Renewable energy,Wind,,Onshore,BEIS,UKE,UKE1,UKE12,-0.11348200173743,53.7491954301673,Humberside,,Land North East OfWadworth Hill HouseGreens LaneBurton PidseaEast Riding Of Yorkshire,Yorkshire and Humber,England,2014/10/01,,,3.4,3,Burton Pidsea (Wadworth Hill) Wind Farm,3992,Aeolian Holderness Ltd,,0,0,0,0.0,0
12.3,Renewable energy,Wind,,Onshore,BEIS,UKE,UKE4,UKE44,-2.15900311188036,53.7006292862709,West Yorkshire,,"Todmorden, Yorkshire",Yorkshire and Humber,England,2014/10/09,,,3.0,5,Todmorden Moor  - Resubmission,4419,Todmorden Moor Wind Farm Ltd,,0,0,0,0.0,0
4.6,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM5,UKM50,-2.41664587878992,57.5870156304642,Grampian,,Backhill Of YondertonCraigston Turriff AB53 5PT,Scotland,Scotland,2014/10/15,,,2.3,2,Yonderton Wind Cluster,3836,Private Developer,,0,0,0,0.0,0
1.0,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM6,UKM65,-2.86890659060636,58.9132984539736,Orkney Islands,KW17 2SA,"Land Near New Holland, Stratheast Road, Holm, Orkney, Orkney Isles",Scotland,Scotland,2014/10/20,,,0.5,2,New Holland,3321,Windflow UK,,0,0,0,0.0,0
1.0,Renewable energy,Wind,,Onshore,BEIS,UKD,UKD7,UKD71,-2.73780478137579,53.5113306871828,Merseyside,,"PROMISED LAND FARM, CRANK ROAD, KINGS MOSS, ST HELENS, LANCASHIRE, WA11 8RW",North West,England,2014/10/22,,,0.5,2,PROMISED LAND FARM,3361,Private Developer,,0,0,0,0.0,0
32.8,Renewable energy,Wind,,Onshore,BEIS,UKE,UKE1,UKE12,-0.88928295088218,53.665925824349,Humberside,,"Goole Fields Parish , East Riding of Yorkshire",Yorkshire and Humber,England,2014/11/08,,,2.05,16,Goole Fields,4373,RWE npower,,1,0,1,32.8,1
42.0,Renewable energy,Wind,,Onshore,BEIS,UKN,UKN1,UKN12,-6.88861214132035,55.0804289292717,Co. Derry / Londonderry,,"Picnic Area, Dunbeg Townland, Limavady, Co Londonderry. BT45",Northern Ireland,Northern Ireland,2014/11/14,,,3.0,14,Windyhill Road (Dunbeg) Wind Farm,4142,Gaelectric Developments/ CGN Europe Energy,,0,0,0,0.0,0
9.2,Renewable energy,Wind,,Onshore,BEIS,UKK,UKK4,UKK43,-4.27145151861703,50.9186848564215,Devon,,"Land At Galsworthy, Buckland Brewer And Bulkworthy",South West,England,2014/11/28,,,2.3,4,Galsworthy Wind Park,4624,Ecotricity,,0,0,0,0.0,0
6.8,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM5,UKM50,-2.38662085885238,56.9398911184853,Grampian,AB39 3YL,"Drumlithie, Stonehaven",Scotland,Scotland,2014/12/07,,,2.26,3,Jacksbank Wind Farm (Glenbervie),4511,East Coast Viners,,0,0,0,0.0,0
2.2,Renewable energy,Wind,,Onshore,BEIS,UKI,UKI4,UKI41,0.07991008579717,51.5256346059248,Greater London,IG11 0AD,"Beckton Sewage Works, Jenkins Lane, Barking",London,England,2014/12/11,,,1.0,2,Beckton Sewage Treatment Works,4976,Thames Water Utilities,,0,0,0,0.0,0
4.3,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM8,UKM83,-4.25209188484238,55.7101509686962,Strathclyde,G76 0PN,"Over Enoch Road, Eaglesham, East Renfrewshire",Scotland,Scotland,2014/12/11,,,2.3,2,Ardoch and Over Enoch Wind Farm (Over Enoch),3855,2020 Renewables/ NTR,,0,0,0,0.0,0
7.2,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM8,UKM83,-4.25370874514159,55.7199807337787,Strathclyde,G76 0PL,"Ardoch Farm, Over Enoch Road, Eaglesham, East Renfrewshire ",Scotland,Scotland,2014/12/11,,,2.5,3,Ardoch and Over Enoch Wind Farm (Ardoch),3925,2020 Renewables/ NTR,,0,0,0,0.0,0
