electrical_capacity,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology,data_source,nuts_1_region,nuts_2_region,nuts_3_region,lon,lat,municipality,postcode,address,region,country,commissioning_date,solar_mounting_type,chp,capacity_individual_turbine,number_of_turbines,site_name,uk_beis_id,operator,comment
66.0,Renewable energy,Wind,,Onshore,BEIS,UKK,UKK4,UKK43,-4.10265580950687,51.15694575703613,Devon,,"Fullabrook Down, Crackaway, Barton",South West,England,2012-01-24,,,3.0,22.0,Fullabrook Down Wind Farm,4033.0,Devon Wind Power Ltd,
14.0,Renewable energy,Wind,,Onshore,BEIS,UKH,UKH1,UKH12,0.1406343686779,52.59256432417949,Cambridgeshire,PE14 0LX,"Coldham Estate, Coldham, Wisbech",Eastern,England,2012-02-05,,,2.0,7.0,Whitemill Wind Farm,3480.0,Co-operative Energy,
28.0,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM9,UKM93,-4.80623988525991,55.7562608094935,Strathclyde,,LargsNorth Ayrshire,Scotland,Scotland,2012-02-05,,,2.0,14.0,Kelburn,3149.0,Renewable Energy Systems (RES),
44.0,Renewable energy,Wind,,Onshore,BEIS,UKE,UKE3,UKE31,-0.93559025759997,53.62230193720145,South Yorkshire,DN8 5,"Tween Bridge, Thorne, Doncaster, South Yorks",Yorkshire and Humber,England,2012-02-27,,,2.0,22.0,Tween Bridge Windfarm,3928.0,E.ON Renewables,
156.0,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM7,UKM77,-3.73375245557669,56.58122315584588,Tayside,,Griffin Forest,Scotland,Scotland,2012-02-28,,,3.0,52.0,Griffin Wind farm,4028.0,Greenpower (Griffin) Ltd,
2.4,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM5,UKM50,-2.06668772293332,57.61529736767717,Grampian,,Kirktown of AuchterlessAberdeenshire,Scotland,Scotland,2012-03-20,,,0.8,3.0,Mains of Hatton,3980.0,Eco2 /GreenCAT,
9.4,Renewable energy,Wind,,Onshore,BEIS,UKL,UKL1,UKL15,-3.45973574177098,51.55639470115906,Mid Glamorgan,,"N of Brynna, E of existing Taff Ely Wind Farm",Wales,Wales,2012-03-26,,,0.85,11.0,Mynydd Portref,3931.0,Gresham House,
32.2,Renewable energy,Wind,,Onshore,BEIS,UKN,UKN1,UKN10,-7.75257472031044,54.63986514969572,Co. Tyrone,,"Crighshane, South of Ballymongan Road, Killeter, Castlederg",Northern Ireland,Northern Ireland,2012-06-30,,,2.0,14.0,Crighshane,4041.0,Greencoat (formerly Energia Renewables),
36.8,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM6,UKM61,-4.42695656556137,57.70998745363968,Highland,,Novar EstateEvantonRoss-shire,Scotland,Scotland,2012-09-17,,,2.3,16.0,Novar Wind Farm (Extension),4013.0,RWE npower,
10.8,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM6,UKM63,-5.47737125667364,55.93343469341927,Strathclyde,,"Cruach a'Phubuill, 9km south of Ardishaig, South Knapdale, Argyll",Scotland,Scotland,2012-09-25,,,0.9,12.0,Allt Dearg Wind Farmers LLP,3758.0,Ormsary and Stronachullin Estates (Allt Dearg Wind Farmers LLP),
24.0,Renewable energy,Wind,,Onshore,BEIS,UKD,UKD4,UKD46,-2.38899680594044,53.71431303464782,Lancashire,,Hyndburn Wind Farm on Oswaldtwistle Moor,North West,England,2012-10-19,,,2.0,12.0,Hyndburn Wind Farm,3748.0,Energiekontor UK,
108.0,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM9,UKM93,-4.28677771461093,55.67715382739883,Strathclyde,,"Eaglesham Moor, to the south of Glasgow",Scotland,Scotland,2012-10-31,,,3.0,36.0,Whitelee Windfarm Extension Phase 1,3981.0,Scottish Power Renewables,
1.7,Renewable energy,Wind,,Onshore,BEIS,UKN,UKN1,UKN13,-6.30710636517554,54.76605209591359,Co. Antrim,BT41 2NX,"Approx 130m NW of 44 Connaught Road, Randalstown",Northern Ireland,Northern Ireland,2012-11-10,,,0.85,2.0,Connaught Road,3716.0,Lowlands Health & Energy Ltd,
27.5,Renewable energy,Wind,,Onshore,BEIS,UKF,UKF2,UKF22,-1.16631992264744,52.41188340560923,Leicestershire,,"Lutterworth Road, Swinford, Lutterworth, Leicestershire. LE17 6BA",East Midlands,England,2012-11-21,,,0.4,11.0,Swinford Wind Farm,3685.0,Nuon UK,
25.0,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM7,UKM72,-3.25215879793457,56.11935495391296,Fife,,South of A92Nr Loch Gelly,Scotland,Scotland,2012-11-27,,,2.8,9.0,Little Raith Farm,4034.0,Renewables Infrastructure Group,
36.0,Renewable energy,Wind,,Onshore,BEIS,UKC,UKC2,UKC21,-2.12700987056351,55.1323021936092,Northumberland,,Near the A68 and Sweethope Lough,North East,England,2012-11-28,,,2.0,18.0,Green Rigg,4044.0,EDF/China General Nuclear Power Corporation,
26.0,Renewable energy,Wind,,Onshore,BEIS,UKC,UKC2,UKC21,-1.53963429864186,55.2015820918521,Northumberland,,"Land adjacent to Rio Tinto Alcan Smelter, Lynemouth (2km north of Ashington)",North East,England,2012-12-04,,,2.0,13.0,Lynemouth Windfarm (Resubmission),3752.0,Scottish Power Renewables,
10.0,Renewable energy,Wind,,Onshore,BEIS,UKE,UKE1,UKE12,-0.60992872851202,53.84512256948658,Humberside,,"nr Market Weighton, Sancton, York, North Yorkshire YO43 4RH",Yorkshire and Humber,England,2012-12-06,,,2.0,5.0,Sancton Hill - Resubmission,3735.0,REG Windpower (previously Cornwall Light and Power),
70.0,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM6,UKM61,-3.95905116017004,58.0594959043152,Highland,,"Gordonbush Estate, Brora, Sutherland, Highlands",Scotland,Scotland,2012-12-06,,,2.0,35.0,Gordonbush,3662.0,Scottish and Southern Energy (SSE),
6.0,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM5,UKM50,-1.91111109087518,57.57198000403174,Grampian,,"Land at St Fergus Moss, St Fergus, Peterhead",Scotland,Scotland,2012-12-18,,,2.0,3.0,St Fergus Moss Wind Farm,2741.0,Greenspan Electric St Fergus Ltd,
4.5,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM5,UKM50,-2.29009373327705,57.60698735763307,Grampian,,"New Byth, Turriff. AB53 5XR",Scotland,Scotland,2012-12-31,,,1.5,3.0,Little Byth,3722.0,Lovie Ltd,
4.0,Renewable energy,Wind,,Onshore,BEIS,UKC,UKC1,UKC14,-1.74866550297169,54.84970967726254,Durham,,"Land to east of Greencroft Estates, Tower Road, Annfield Plain, Stanley",North East,England,2013-01-03,,,2.0,2.0,Greencroft Estate Turbines,3859.0,Lanchester Properties,
14.0,Renewable energy,Wind,,Onshore,BEIS,UKF,UKF3,UKF30,0.16615691090331,52.75061783494753,Lincolnshire,PE13 5QZ,"Middle Road, Tydd St. Mary, Wisbech, Cambridge",East Midlands,England,2013-01-03,,,2.0,7.0,The Grange Wind Farm,3671.0,Renewable Energy Systems (RES),
7.5,Renewable energy,Wind,,Onshore,BEIS,UKE,UKE3,UKE31,-1.7062246716211,53.54331481929513,South Yorkshire,,"Blackstone Edge, Penistone",Yorkshire and Humber,England,2013-01-03,,,2.5,3.0,Blackstone Edge,3958.0,Ventient (formerly Infinis),
15.8,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM5,UKM50,-2.27242035595816,56.8885736971989,Grampian,,"Chapel of Barrasnr Kinneff, South of Stonehaven",Scotland,Scotland,2013-01-04,,,2.8,9.0,St. Johns Hill,4031.0,K E Projects AF,
34.5,Renewable energy,Wind,,Onshore,BEIS,UKL,UKL1,UKL17,-3.9290363482827,51.77282452868733,Dyfed,,"Mynydd y Betws, Betws, Ammanford",Wales,Wales,2013-01-04,,,2.3,15.0,Mynydd y Betws,4061.0,ESB (Cambrian Renewable Energy Ltd / Betws Common Holdings Ltd),
25.0,Renewable energy,Wind,,Onshore,BEIS,UKL,UKL1,UKL17,-3.50503459782525,51.61285876046466,Mid Glamorgan,,"Mynydd Maesteg, Mynydd Pwlle yr Helog, Ogmore Vale, Rhondda Valley",Wales,Wales,2013-01-06,,,2.5,10.0,Pant y wal,4039.0,Pennant Wind Energy Ventures (PWEV),
1.8,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM6,UKM65,-2.71564947319157,58.92171860969652,Orkney Islands,,"Deerness, Orkney",Scotland,Scotland,2013-01-07,,,0.9,2.0,Barns of Ayre Wind Turbines (2),3902.0,Ayre Energy/Aquatera Ltd,
15.0,Renewable energy,Wind,,Onshore,BEIS,UKE,UKE1,UKE12,-0.59674082311928,53.8349466617919,Humberside,,Land North Of Sober Hill Farm Stoneknowle Hill North Newbald East Riding Of Yorkshire,Yorkshire and Humber,England,2013-01-09,,,2.5,6.0,Sober Hill Wind Farm (Resubmission),4327.0,West Coast Energy,
28.0,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM9,UKM95,-4.21186319744483,55.63743578753061,Strathclyde,,"Harshaw Hill, Drumclog, Strathaven, Strathclyde. ML10 6QN",Scotland,Scotland,2013-01-09,,,2.0,14.0,Calder Water Community Wind Farm,3688.0,Community Windpower (Community Wind Power),
9.2,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM5,UKM50,-1.899262970333,57.58223801822744,Grampian,,"Crimond, Fraserburgh, AB42 3HJ",Scotland,Scotland,2013-01-11,,,2.3,4.0,Land at Overside and Greenwellheads Farms,3802.0,Greenside Wind Energy Ltd,
2.4,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM5,UKM50,-2.44768528049502,57.282763765235,Grampian,AB53 5UR,"Cuminestown, Turriff, Aberdeenshire",Scotland,Scotland,2013-01-11,,,0.8,3.0,Castle of Auchry Farm,3718.0,Green Cat Renewables,
57.5,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM5,UKM50,-2.48616388309013,56.96877562401875,Grampian,,"Mid Hill, FetteressoStonehaven",Scotland,Scotland,2013-01-12,,,2.3,25.0,Mid Hill I,4667.0,Fred Olsen Renewables,
10.3,Renewable energy,Wind,,Onshore,BEIS,UKH,UKH3,UKH34,1.11089796568673,51.80918315386758,Essex,,"Earls Hall Farm, Clacton on Sea, Essex",Eastern,England,2013-01-13,,,2.05,5.0,Earl's Hall,3943.0,Greencoat UK Wind,
109.0,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM9,UKM93,-4.31763047925453,55.63942810553461,Strathclyde,,north of the Irvine Valley on Eaglesham Moor,Scotland,Scotland,2013-01-15,,,3.0,39.0,Whitelee Windfarm Extension phase 2,2757.0,,
