OBJECTID;COUNTRY;NAME;N_TURBINES;POWER_MW;STATUS;TYPE_INST;UPDT_YEAR;START_YEAR;COAST_DIST_M;AREA_SQKM;NOTES;Shape_Length;Shape_Area
29;Denmark;Krigers Flak Nord;0;0;Planned; ;0;0;15010,56236;98,08013717; ;0,570941879;0,013819807
30;Denmark;Kattegat I;0;0;Planned; ;0;0;15019,33592;914,1376362; ;2,067095608;0,134727187
31;Denmark;Kattegat II;0;0;Planned; ;0;0;14997,41804;122,039142; ;0,837776047;0,017732582
32;Denmark;Nordsren III vest;0;0;Planned; ;0;0;109379,6883;4484,323143; ;4,609766598;0,648767079
33;Denmark;Vesterhav Nord;21;176;Construction;Grounded;2026;0;3994,347038;58,39284739; ;0,449470812;0,008542773
34;Denmark;Bornholm I;0;0;Planned; ;0;0;5278,915471;422,0729934; ;1,426312203;0,059225466
35;Denmark;Bornholm III;0;0;Planned; ;0;0;41701,4416;61,09073468; ;0,632983291;0,008487486
36;Denmark;Nordsren II;0;0;Planned; ;0;0;49194,17295;1872,94141; ;2,71549342;0,271655864
37;Denmark;Bornholm I;0;0;Planned; ;0;0;5000,55138;71,20235897; ;0,422362478;0,010035933
38;Denmark;Jyske Banke;0;0;Planned; ;0;0;43772,74317;802,712231; ;3,04486904;0,118727833
39;Denmark;Krigers Flak Syd;0;0;Planned; ;0;0;14997,87344;75,25241159; ;0,722000024;0,010536173
40;Denmark;Nordsren III;0;0;Planned; ;0;0;73863,31626;1642,587692; ;2,30798522;0,24007788
41;Denmark;Hesselk;0;0;Planned; ;0;0;19402,92127;246,8517335; ;0,917985426;0,035948583
42;Denmark;Bornholm;0;100;Planned; ;2024;0;5448,413883;34,70536312; ;0,351234713;0,004871085
43;Denmark;Nordsren I;0;0;Planned; ;0;0;19964,41933;3176,148975; ;3,229937941;0,457433147
44;Denmark;Samsa;10;23;Production; ;2025;2003;3456,959776;0,882530631; ;0,060560869;0,000126145
45;Denmark;Horns Rev I;80;160;Production; ;0;2002;13863,4889;19,62375161; ;0,231339312;0,002788168
46;Denmark;Anholt;111;399,6;Production;Grounded;2026;2012;15488,51829;90,47530651; ;0,578813729;0,013228267
47;Denmark;Middelgrunden;20;40;Production; ;2024;0;1137,778152;1,112638454; ;0,075018057;0,000158907
48;Denmark;Frederikshavn Offshore;3;10,6;Production; ;2025;2003;0;0,241544184; ;0,027362975;3,61199E-05
49;Denmark;Nissum Bredning;4;28;Production;Grounded;2026;0;552,0970642;1,033174763; ;0,053087284;0,000151339
50;Denmark;Horns Rev II;91;209,3;Production; ;0;2009;28725,07362;31,37792024; ;0,288064125;0,004471047
51;Denmark;Kriegers Flak K2-K3;72;605;Production; ;2026;2021;13553,54873;173,145563; ;1,0780072;0,024317991
52;Denmark;Nysted;72;165,6;Production; ;0;2003;4268,795448;23,04548425; ;0,255023219;0,003199364
53;Denmark;Sprogo;7;21;Production; ;0;2009;517,2080493;0,880490673; ;0,095585779;0,000124655
54;Denmark;Tunø Knob;10;5;Production; ;2025;1995;2887,190693;0,320264455; ;0,027235085;4,60648E-05
55;Denmark;Avedøre Holme;3;10,8;Production; ;2024;2011;0;0,341857041; ;0,040488511;4,87139E-05
56;Denmark;Horns Rev III;49;407;Production; ;2025;2019;22454,02963;90,30657923; ;0,5267831;0,012898481
57;Denmark;Rodsand II;90;207;Production; ;2025;2010;1583,234311;31,72539083; ;0,365909422;0,004404961
58;Denmark;Nordre Flint;0;160;Planned; ;2024;0;2596,116178;17,62527643; ;0,254648105;0,002514387
59;Denmark;Kadetbanke;0;864;Planned; ;0;0;12052,1015;71,60542634; ;0,662550964;0,010004349
60;Denmark;Frederikshavn Offshore Demo;5;72;Approved; ;2025;0;999,2954301;5,734702985; ;0,13607988;0,000857461
61;Denmark;Aflandshage;0;250;Planned; ;2024;0;7991,035651;43,31161163; ;0,364064093;0,006146037
62;Denmark;Lillebklt Syd;0;160;Planned; ;0;0;2315,854062;37,31277706; ;0,331072951;0,005263062
63;Denmark;NW Grund;0;0;Planned; ;0;0;1145,646782;1,648079256; ;0,066666666;0,000233333
64;Denmark;Mejl Flak;0;120;Planned; ;0;0;2440,389446;56,00040932; ;0,422165477;0,00806153
65;Denmark;Trem Mkllebugt;0;720;Planned; ;0;0;19223,28151;52,21836823; ;0,438773727;0,007670809
66;Denmark;Lillebælt-Syd (Lillegrund);0;160;Approved; ;2026;0;1627,686451;54,21404402; ;0,390798343;0,007630334
67;Denmark;Omo Syd;0;320;Planned; ;2025;0;5719,421582;24,54101673; ;0,252342252;0,003447895
68;Denmark;Paludan Flak;0;228;Planned; ;0;0;2976,848635;14,24572316; ;0,180912689;0,002035876
69;Denmark;Jammerland Bugt;0;240;Approved; ;2026;0;6009,065621;31,13593186; ;0,35098993;0,004433319
70;Latvia;E4;0;0;Planned; ;2019;0;11521,98988;607,6615612; ;1,494376379;0,090097582
71;Latvia;E1;0;0;Planned; ;2019;0;38190,59605;407,6059215; ;1,295938223;0,058827932
72;Latvia;E2;0;0;Planned; ;2019;0;18195,57531;100,5303342; ;0,532343436;0,014518152
73;Latvia;E3;0;0;Planned; ;2019;0;10923,95598;348,9564884; ;1,041587017;0,051403576
74;Latvia;E5;0;0;Planned; ;2019;0;11674,08976;183,7784736; ;0,849899477;0,027790862
75;Netherlands;IJmuiden Ver;0;4000;Planned; ;0;0;49466,89814;1172,060155; ;1,985665552;0,156443409
76;Netherlands;Hollandse Kust D;0;0;Planned; ;0;0;51467,16091;349,097588; ;1,165577346;0,046245797
77;Netherlands;Hollandse Kust E;0;0;Planned; ;0;0;25149,64135;189,5768869; ;0,875355475;0,025298803
78;Netherlands;Hollandse Kust (West);0;1400;Planned; ;0;0;33940,28853;217,3353458; ;0,69338512;0,028639056
79;Netherlands;Hollandse Kust F;0;0;Planned; ;0;0;49025,26367;30,40667249; ;0,314013985;0,003990372
80;Netherlands;Borssele Kavel V;2;19;Production; ;2025;2020;34823,96128;0,589997719; ;0,044064499;7,67161E-05
81;Netherlands;HKZ Kavel IV;70;700;Construction; ;2016;0;18604,03447;90,19601863; ;0,583604675;0,011890362
82;Netherlands;HKZ Kavel III;70;700;Construction; ;2016;0;18625,92989;53,80671284; ;0,380663612;0,007076501
83;Netherlands;HKZ Kavel II;70;700;Construction; ;2016;0;23510,24223;47,77877029; ;0,332869131;0,006293311
84;Netherlands;HKZ Kavel I;70;700;Construction; ;2016;0;22358,89874;67,25992235; ;0,571905973;0,008877361
85;Netherlands;HKN Kavel V;0;0;Approved; ;0;0;18675,27755;126,4368697; ;0,6408477;0,016808668
86;United Kingdom;NE1;0;0;Planned; ;2021;0;22486,0881;751,0922568; ;1,793373777;0,121891026
87;France;Courseulles-sur-mer;64;450;Construction;Grounded;2026;0;9738,538433;67,17983116; ;0,455593496;0,008334208
88;France;Fécamp Offshore Hautes Falaises;71;497;Production;Grounded;2026;2024;11246,60156;87,95717645; ;0,481986977;0,011005486
89;France;Dieppe Le Tréport;62;496;Approved;Grounded;2026;0;14709,25063;109,3685241; ;0,533810082;0,013757328
90;France;Centre-Manche 1;0;1000;Planned;Grounded;2026;0;33174,15429;182,2972084; ;0,685412706;0,022801611
91;France;Sud de la Bretagne;0;250;Planned; ;0;0;15251,9703;130,4556915; ;0,657884249;0,015527095
92;France;Dunkerque;0;598;Approved;Grounded;2026;0;8853,415603;72,39421322; ;0,538630939;0,009300831
93;France;Provence Grand Large Faraman;3;25,19;Production; ;2026;2025;14408,58531;0,782283733; ;0,05961393;8,6625E-05
94;France;Gruissan;3;30;Construction; ;2025;0;17737,43265;5,554323047; ;0,10716266;0,000613364
95;France;Leucate-Le Barcarès;0;30;Test site; ;0;0;14862,23565;5,112857991; ;0,100987869;0,000563063
96;France;Saint-Brieuc;62;496;Production;Grounded;2026;2024;15680,28292;102,5879541; ;0,462596818;0,012569446
97;France;Méditerranée;0;250;Planned; ;0;0;22157,73491;295,7544623; ;0,840206001;0,032666851
98;France;Méditerranée;0;250;Planned; ;0;0;22124,98157;311,8503566; ;0,792015676;0,034470432
99;France;Méditerranée;0;250;Planned; ;0;0;23342,21251;363,4004982; ;0,825360355;0,039946503
100;France;Sud Atlantique;0;1000;Planned; ;0;0;37152,7577;180,0886417; ;0,639984428;0,020851389
101;France;Sud Atlantique;0;1000;Planned; ;0;0;47167,93129;252,4794708; ;0,707099259;0,029217451
102;France;Centre-Manche 2;0;1500;Planned; ;0;0;37137,21958;268,9842872; ;0,859759942;0,033619632
103;France;Saint-Nazaire;80;480;Production; ;2025;2022;11306,47669;78,10863615; ;0,510723882;0,009266389
104;France;Iles d'Yeu et de Noirmoutier;62;488;Construction; ;2025;0;11671,53209;111,8839823; ;0,490030748;0,0132
105;France;Groix et Belle-Île;3;28;Test site; ;0;0;11210,1057;14,38312654; ;0,178934671;0,001716659
106;Ireland;Arklow Bank Phase 2;100;1000;Planned; ;2025;0;5830,075737;82,44795952; ;0,593896356;0,010981423
107;Ireland;Kilmichael Point;0;500;Planned; ;0;0;4789,586558;428,3008272; ;1,272068931;0,056873816
108;Ireland;Clogher Head;0;500;Planned; ;2025;0;4890,95283;124,839947; ;0,571918741;0,017029128
109;Ireland;Sceirde (Skerd) Rocks;0;400;Planned; ;2025;0;2688,570897;29,39969737; ;0,26460181;0,003959246
110;Ireland;Arklow Bank Phase 1;7;25,2;Production; ;2025;2003;9482,272914;3,490393757; ;0,0934703;0,000464854
111;Ireland;North Celtic Sea;0;1000;Planned; ;2025;0;2636,321743;819,5680189; ;1,857592742;0,107317356
112;Ireland;AFLOWT;0;0;Planned; ;0;0;1958,768373;0,237008838; ;0,022881408;3,26525E-05
113;Ireland;Setanta;0;1000;Planned; ;2024;0;6818,138417;203,3357136; ;0,788103737;0,027714016
114;Ireland;Cooley Point;0;0;Planned; ;0;0;5170,078689;182,3025205; ;0,90658989;0,024887653
115;Ireland;Floating Power Plant - Ireland;0;0;Planned; ;0;0;2607,866307;1,95066317; ;0,061799104;0,000264844
116;Ireland;Inis Ealga FOW;0;1000;Planned; ;0;0;7253,790574;272,0726636; ;1,860238985;0,035398029
117;Ireland;South Irish Sea Project;0;1330;Planned; ;2025;0;11636,74428;418,5790966; ;1,244544831;0,055478817
118;Ireland;Inis Ealge Marine Energy Park - DP Ireland;0;0;Planned; ;0;0;0;1009,408557; ;3,307099861;0,13144137
119;Ireland;Emerald Project - Simply Blue Energy;0;0;Planned; ;0;0;0;825,1711873; ;1,716210234;0,107323729
120;Belgium;Belwind phase 1;55;165;Production; ;2024;2010;40610,6845;14,74074503; ;0,208409758;0,001915003
121;Belgium;Rentel;42;309;Production;Grounded;2026;2018;28354,72882;23,26581643; ;0,260649084;0,003017221
122;Belgium;Norther;44;369,6;Production;Grounded;2026;2018;19797,75862;38,44205019; ;0,352805069;0,004979139
123;Belgium;Seamade (SeaStar);30;252;Production;Grounded;2026;2020;36085,9539;18,42585894; ;0,222749003;0,002391994
124;Belgium;Northwester 2;23;219;Production;Grounded;2026;2020;44480,72733;11,72932499; ;0,176358331;0,001524816
125;Spain;Motriku;16;0,3;Production; ;0;0;280,0696403;2,70854E-06; ;6,15302E-05;3,00513E-10
126;United Kingdom;Fair Head;0;100;Planned; ;0;0;842,6875197;3,336242282; ;0,120344684;0,000471022
127;United Kingdom;Torr Head;50;100;Approved; ;0;0;213,44044;6,797721024; ;0,133269781;0,000959055
128;United Kingdom;Holyhead Deep;20;10;Approved; ;0;0;4897,759537;9,176442558; ;0,147027635;0,001237045
129;United Kingdom;Ramsey Sound;1;0,4;Dismantled; ;0;0;193,1997554;0,597384004; ;0,048207408;7,79645E-05
130;United Kingdom;Strangford Lough;0;0,3;Production; ;0;0;246,580179;0,075008881; ;0,020670223;1,0372E-05
131;United Kingdom;West Anglesey Demonstration Zone;0;0;Planned; ;0;0;523,2546051;35,04359165; ;0,30253221;0,004722067
132;United Kingdom;Bardsey Sound;0;0;Approved; ;0;0;430,1014431;3,336338456; ;0,090092094;0,000444288
